OBJECTID,GEOID,ALAND,AWATER,NAME,State,County,B23020_001E,B23020_001M,B23020_002E,B23020_002M,B23020_003E,B23020_003M,B23025_001E,B23025_001M,B23025_002E,B23025_002M,B23025_003E,B23025_003M,B23025_004E,B23025_004M,B23025_005E,B23025_005M,B23025_006E,B23025_006M,B23025_007E,B23025_007M,B23025_calc_pctNILFE,B23025_calc_pctNILFM,B23025_calc_pctUnempE,B23025_calc_pctUnempM,Shape__Area,Shape__Length,Shape__Area_2,Shape__Length_2
1,11001000100,1907610,512798,Census Tract 1,District of Columbia,District of Columbia,44.7,2.2,45.9,3,43.4,3.1,4282,361,3323,322,3323,322,3244,312,79,63,0,17,959,273,22.4,6.08952216855199,2.4,1.88182915912278,3157969.93721395,16275.5930843861,3157969.92578125,16275.5930843861
2,11001000201,503312,0,Census Tract 2.01,District of Columbia,District of Columbia,22.1,2.5,24.6,4.2,19.7,2.4,3817,700,1456,303,1428,310,1349,314,79,60,28,39,2361,596,61.9,10.7299388282015,5.5,4.02638673345408,832414.180051569,4265.95624132817,832414.1953125,4265.95624132817
3,11001000202,776437,428754,Census Tract 2.02,District of Columbia,District of Columbia,34.6,3.1,37,4.8,32.2,2.8,4194,677,2728,518,2728,518,2632,522,96,67,0,12,1466,365,35,6.62598407554295,3.5,2.36336422807263,1284189.1303622,13196.7554343063,1284189.109375,13196.7554343063
4,11001000300,1010802,2334,Census Tract 3,District of Columbia,District of Columbia,39.4,2.7,39.6,6,39.3,1.8,5438,482,4266,409,4266,409,4157,388,109,78,0,17,1172,302,21.6,5.2146277543078,2.6,1.81192623289452,1675991.32850662,5244.31420587205,1675991.328125,5244.31420587205
5,11001000400,1542759,69,Census Tract 4,District of Columbia,District of Columbia,45.5,2.4,44.6,3.9,46.1,2.8,1173,116,738,110,731,110,726,111,5,8,7,11,435,80,37.1,5.75018629406675,0.7,1.08954040622597,2552695.08477435,7468.46769728117,2552695.03515625,7468.46769728117
6,11001000501,940586,30822,Census Tract 5.01,District of Columbia,District of Columbia,44.2,1.6,45.7,1.7,42.6,2.5,3111,224,2702,258,2688,257,2635,254,53,42,14,22,409,133,13.1,4.16903575038317,2,1.55108594211763,1561991.26946544,8755.0281144194,1561991.2578125,8755.0281144194
7,11001000502,581506,0,Census Tract 5.02,District of Columbia,District of Columbia,43,1.2,45.7,1.5,40.9,1.8,2954,214,2395,233,2395,233,2315,229,80,60,0,12,559,107,18.9,3.35276426384868,3.3,2.48405351325193,962251.190483795,5195.04782210289,962251.21875,5195.04782210289
8,11001000600,1442822,71,Census Tract 6,District of Columbia,District of Columbia,43.2,1.8,44.2,3.6,42.3,2,4177,252,3042,283,3027,282,2999,293,28,40,15,24,1135,222,27.2,5.05567874872454,0.9,1.31862750102405,2388176.93276414,6692.09665062309,2388176.9375,6692.09665062309
9,11001000701,548936,0,Census Tract 7.01,District of Columbia,District of Columbia,39.4,2.7,39.6,4.2,39.3,3,5388,374,3486,335,3486,335,3406,341,80,67,0,17,1902,352,35.3,6.05610285958636,2.3,1.90927900146622,908390.369859713,4113.24492686374,908390.375,4113.24492686374
10,11001000702,293835,0,Census Tract 7.02,District of Columbia,District of Columbia,40.2,1.5,39.7,2.8,40.8,1.8,3187,384,2621,397,2621,397,2414,349,207,175,0,12,566,173,17.8,4.98873787784174,7.9,6.56880189395067,486171.374705441,3519.88108120932,486171.3828125,3519.88108120932
11,11001000801,2913351,168211,Census Tract 8.01,District of Columbia,District of Columbia,36.9,2.3,42.9,2.6,33.1,3,5457,489,3394,319,3394,319,3019,276,375,230,0,17,2063,339,37.8,5.20722818505406,11,6.69662176725311,4821359.8392314,14470.7362441906,4821359.88671875,14470.7362441906
12,11001000802,1713200,669752,Census Tract 8.02,District of Columbia,District of Columbia,40,1.8,41.8,3.1,38.7,1.7,2980,272,2208,259,2208,259,2160,256,48,45,0,12,772,183,25.9,5.66744291595845,2.2,2.02202755072144,3164973.94973287,16702.4270601298,3164973.97265625,16702.4270601298
13,11001000901,2952810,75151,Census Tract 9.01,District of Columbia,District of Columbia,30.4,1.6,34.3,2.1,27.6,2.1,6436,379,3175,246,3165,248,2934,230,231,113,10,14,3261,344,50.7,4.43460794038004,7.3,3.5241991187802,5011918.28417569,9122.53554920987,5011918.2578125,9122.53554920987
14,11001000902,1867106,307257,Census Tract 9.02,District of Columbia,District of Columbia,43.9,1.8,47.4,2.3,40.3,2.6,1838,125,1245,123,1245,123,1209,122,36,21,0,12,593,114,32.3,5.80131298658039,2.9,1.66237975384791,3154927.25872002,20593.6486260367,3154927.34375,20593.6486260367
15,11001001001,2454382,0,Census Tract 10.01,District of Columbia,District of Columbia,40.8,1.3,43.4,1.8,38.5,2,6045,358,4083,300,4083,300,4011,289,72,52,0,17,1962,268,32.5,3.99505703954732,1.8,1.26696544243739,4063753.69916757,8381.00439634663,4063753.6953125,8381.00439634663
16,11001001002,889721,0,Census Tract 10.02,District of Columbia,District of Columbia,39,2.2,38.4,3.4,39.6,2.5,3077,347,2408,322,2408,322,2221,293,187,172,0,12,669,173,21.7,5.05956240166017,7.8,7.06696788674395,1472692.0928459,5087.14354344476,1472692.0390625,5087.14354344476
17,11001001100,1676650,0,Census Tract 11,District of Columbia,District of Columbia,42.3,1.8,44.5,2.5,40.5,2.2,4141,278,2939,274,2939,274,2819,288,120,82,0,17,1202,206,29,4.57709049760195,4.1,2.76397571939949,2776699.55079655,7342.14475380027,2776699.51171875,7342.14475380027
18,11001001200,1218245,0,Census Tract 12,District of Columbia,District of Columbia,42.3,1.7,42,2.3,42.5,2.3,4241,382,3374,409,3374,409,3286,406,88,99,0,17,867,181,20.4,3.85018457865236,2.6,2.91711919514801,2016913.44716105,6317.87741797721,2016913.484375,6317.87741797721
19,11001001301,2855962,26550,Census Tract 13.01,District of Columbia,District of Columbia,45.2,1.9,47.5,3.2,43.3,2.4,3457,285,2824,268,2805,274,2653,264,152,87,19,35,633,168,18.3,4.61930370721243,5.4,3.05610150076245,4727255.9768361,11516.0830886886,4727255.97265625,11516.0830886886
20,11001001302,1593505,14706,Census Tract 13.02,District of Columbia,District of Columbia,43.1,1.6,44.4,2.5,42,2,7295,711,5761,722,5701,720,5523,706,178,126,60,72,1534,374,21,4.6993284965768,3.1,2.17467769838648,2636889.79107087,8147.36443596191,2636889.80078125,8147.36443596191
21,11001001401,788095,0,Census Tract 14.01,District of Columbia,District of Columbia,42.2,1.2,44.6,1.8,39.7,1.8,2723,196,1980,193,1980,193,1893,222,87,64,0,12,743,114,27.3,3.69727407063203,4.4,3.20382180959229,1305453.01695422,5190.47012930597,1305453.03125,5190.47012930597
22,11001001402,895209,0,Census Tract 14.02,District of Columbia,District of Columbia,42.9,3.1,46.4,3.4,39.7,3.7,2759,206,1889,234,1882,235,1826,232,56,48,7,11,870,151,31.5,4.94069122751914,3,2.52326972630228,1482693.40501831,6265.03862556119,1482693.4453125,6265.03862556119
23,11001001500,4686643,12091,Census Tract 15,District of Columbia,District of Columbia,41.6,1.6,43.8,2.6,38.8,2.3,4505,248,2760,221,2760,221,2608,235,152,95,0,17,1745,254,38.7,5.21940372336772,5.5,3.41366390369601,7777366.22028685,16233.8897034593,7777366.1640625,16233.8897034593
24,11001001600,2665663,35624,Census Tract 16,District of Columbia,District of Columbia,41.5,1.6,43.7,2.1,39.6,2.1,3728,236,2503,222,2503,222,2405,232,98,61,0,12,1225,160,32.9,3.7540486430504,3.9,2.41220772167871,4419441.25478914,14644.7831100156,4419441.21484375,14644.7831100156
25,11001001702,939292,0,Census Tract 17.02,District of Columbia,District of Columbia,40.3,2,43,2.4,37.7,3.1,2877,279,2223,269,2223,269,2082,275,141,65,0,12,654,134,22.7,4.10290973909371,6.3,2.82144373515977,1556190.40798787,6252.85691655732,1556190.421875,6252.85691655732
26,11001001803,1136289,31934,Census Tract 18.03,District of Columbia,District of Columbia,37.8,1.9,39.5,3,35.8,1.9,3151,348,2345,364,2342,364,2215,329,127,82,3,7,806,227,25.6,6.62705990374019,5.4,3.39832815727813,1882736.1293439,8557.65035419445,1882736.171875,8557.65035419445
27,11001001804,601755,0,Census Tract 18.04,District of Columbia,District of Columbia,38.6,2,41.1,2.9,36,2.1,4200,410,2636,306,2636,306,2474,291,162,93,0,17,1564,354,37.2,7.6043750409127,6.1,3.45518871166431,996833.94062476,4392.95727757238,996833.94921875,4392.95727757238
28,11001001901,769306,0,Census Tract 19.01,District of Columbia,District of Columbia,39.8,2,40.2,2.4,39.3,2.7,3430,346,2344,301,2344,301,2184,279,160,95,0,12,1086,210,31.7,5.22336623685207,6.8,3.95697940628062,1274313.41059979,4676.24009974069,1274313.40625,4676.24009974069
29,11001001902,877350,0,Census Tract 19.02,District of Columbia,District of Columbia,40.3,3,41.4,4.9,39.2,2,2212,181,1454,181,1454,181,1318,202,136,89,0,12,758,127,34.3,5.01012929564969,9.4,6.0092806379795,1453243.83499532,5138.57067207347,1453243.828125,5138.57067207347
30,11001002001,632723,1107,Census Tract 20.01,District of Columbia,District of Columbia,38.3,1.4,39.3,1.6,37.5,2.1,2741,306,1723,245,1716,245,1627,236,89,45,7,10,1018,246,37.1,7.95967774502291,5.2,2.51565758413922,1047951.14291789,5383.76979282423,1047951.15234375,5383.76979282423
31,11001002002,849376,0,Census Tract 20.02,District of Columbia,District of Columbia,39,1.4,39.2,2.1,38.7,2,3378,542,2627,443,2611,443,2450,404,161,90,16,18,751,224,22.2,5.58995335786595,6.2,3.28435075442297,1406459.2989967,5636.11100590479,1406459.3046875,5636.11100590479
32,11001002101,600992,0,Census Tract 21.01,District of Columbia,District of Columbia,38.8,1.2,40.6,2,37.2,2,4224,530,2889,434,2889,434,2753,435,136,139,0,17,1335,375,31.6,7.9429242807049,4.7,4.75909758497182,995264.33455776,4105.78624726881,995264.33984375,4105.78624726881
33,11001002102,725975,0,Census Tract 21.02,District of Columbia,District of Columbia,40.5,1.6,41.8,2.7,39.2,1.6,4437,417,2927,345,2927,345,2637,333,290,138,0,17,1510,302,34,6.00809984674348,9.9,4.56780634331823,1202238.95490158,4565.57079006118,1202238.9609375,4565.57079006118
34,11001002201,415173,0,Census Tract 22.01,District of Columbia,District of Columbia,41.2,1.7,44.8,3.4,37.9,1.8,2790,371,1952,342,1952,342,1728,301,224,129,0,12,838,180,30,5.06667205500342,11.5,6.29534561449677,687410.684805801,3314.36910077298,687410.68359375,3314.36910077298
35,11001002202,693961,566,Census Tract 22.02,District of Columbia,District of Columbia,38.9,1.6,41,2.5,36.5,2,2690,349,1931,265,1931,265,1795,268,136,88,0,12,759,209,28.2,6.85308383518828,7,4.45354818474014,1149932.81961145,4296.87950269616,1149932.8203125,4296.87950269616
36,11001002301,412613,0,Census Tract 23.01,District of Columbia,District of Columbia,39.8,1.6,40.9,1.9,38.5,2.3,2939,359,2245,304,2245,304,2061,247,184,117,0,12,694,152,23.6,4.29279175868277,8.2,5.09203732665052,683046.305910793,3688.34878906727,683046.296875,3688.34878906727
37,11001002302,2010229,5298,Census Tract 23.02,District of Columbia,District of Columbia,44,3.3,43.5,4.6,44.4,5,1548,218,846,176,846,176,802,179,44,38,0,12,702,157,45.3,7.87891495474693,5.2,4.35945990057338,3335728.09733789,7562.48440833315,3335728.08984375,7562.48440833315
38,11001002400,556235,0,Census Tract 24,District of Columbia,District of Columbia,41.3,1.1,41.3,1.7,41.3,1.6,3719,338,2759,287,2742,288,2636,276,106,74,17,17,960,177,25.8,4.14094754991149,3.9,2.66804072088433,920776.602779057,4191.97618480791,920776.640625,4191.97618480791
39,11001002501,543460,0,Census Tract 25.01,District of Columbia,District of Columbia,41.4,2.7,43.4,3.5,38.5,4.1,2606,350,1891,329,1868,324,1835,325,33,27,23,33,715,118,27.4,2.63143210132704,1.8,1.41254449400207,899709.948559661,3995.76821099085,899709.9453125,3995.76821099085
40,11001002502,603735,0,Census Tract 25.02,District of Columbia,District of Columbia,41.2,1.6,41.4,2.3,41,2.2,5499,477,4124,386,4124,386,3914,396,210,128,0,17,1375,361,25,6.19617298447844,5.1,3.06696980037619,999337.714090937,4161.41138723917,999337.71875,4161.41138723917
41,11001002600,2112431,62623,Census Tract 26,District of Columbia,District of Columbia,42,1,42.9,1.4,41,1.4,2166,170,1537,161,1535,161,1434,150,101,56,2,4,629,118,29,4.9481405364751,6.6,3.58233813733218,3500170.42617172,13576.9243743587,3500170.4140625,13576.9243743587
42,11001002701,452924,0,Census Tract 27.01,District of Columbia,District of Columbia,41.7,1.4,42.1,1.9,41.1,2.1,4998,515,3862,514,3862,514,3747,523,115,75,0,17,1136,272,22.7,4.91245044144102,3,1.90113054682384,749604.055965061,4358.52046509498,749604.06640625,4358.52046509498
43,11001002702,486440,7801,Census Tract 27.02,District of Columbia,District of Columbia,41.2,1.3,44.3,2.1,39.1,1.8,5466,583,4424,595,4424,595,4247,588,177,90,0,17,1042,270,19.1,4.50174282219741,4,1.96190342502747,804951.706068556,4658.91824053941,804951.703125,4658.91824053941
44,11001002801,171910,0,Census Tract 28.01,District of Columbia,District of Columbia,39.7,1.7,40.5,2.7,39,1.9,3389,358,2858,346,2858,346,2684,364,174,86,0,12,531,149,15.7,4.07313226022252,6.1,2.91743274245648,284523.474799633,2221.07076744405,284523.47265625,2221.07076744405
45,11001002802,229695,0,Census Tract 28.02,District of Columbia,District of Columbia,41.5,1.9,42.9,2.8,40,1.8,4360,387,3602,369,3592,370,3309,402,283,156,10,16,758,209,17.4,4.53840152182841,7.9,4.26648561574999,380102.61050721,2705.92837101211,380102.59765625,2705.92837101211
46,11001002900,300632,0,Census Tract 29,District of Columbia,District of Columbia,40.5,1.1,42.4,1.3,38.4,1.6,3718,304,3194,296,3194,296,3070,294,124,90,0,12,524,144,14.1,3.69764731034725,3.9,2.79471955953181,497551.791613026,2987.90209555263,497551.78125,2987.90209555263
47,11001003000,210638,0,Census Tract 30,District of Columbia,District of Columbia,41.4,1.3,42.7,1.3,40.1,2.4,3192,407,2503,355,2446,359,2311,340,135,69,57,46,689,190,21.6,5.27787452008481,5.5,2.70212260465089,348559.705335947,2415.29800286589,348559.69140625,2415.29800286589
48,11001003100,296909,0,Census Tract 31,District of Columbia,District of Columbia,40.7,1.7,39.8,2.4,41.7,2.6,2995,344,2376,286,2376,286,2237,268,139,71,0,12,619,212,20.7,6.66854062772792,5.9,2.90405794883041,491347.431446962,3342.48544633119,491347.421875,3342.48544633119
49,11001003200,445441,0,Census Tract 32,District of Columbia,District of Columbia,40,1.5,40.4,1.9,39.7,2,4812,514,3851,400,3851,400,3424,399,427,182,0,17,961,260,20,4.96422250027038,11.1,4.58356643350052,737177.332819305,3942.73318606786,737177.328125,3942.73318606786
50,11001003301,442120,0,Census Tract 33.01,District of Columbia,District of Columbia,41.9,1.3,42.3,1.9,41.5,1.5,3748,403,3079,362,3072,362,2935,336,137,93,7,12,669,223,17.8,5.63179072855917,4.5,2.98138258747266,731439.784124101,4252.14861688326,731439.7734375,4252.14861688326
51,11001003302,204237,0,Census Tract 33.02,District of Columbia,District of Columbia,43.3,1.1,44,2,42.6,1.3,2087,211,1719,177,1705,177,1639,176,66,30,14,15,368,131,17.6,6.01847240714824,3.9,1.71302710605547,337824.333620724,2464.85592053074,337824.3359375,2464.85592053074
52,11001003400,917526,159593,Census Tract 34,District of Columbia,District of Columbia,34.3,2.5,36.8,2.7,32.1,3.3,4533,521,2496,324,2496,324,2352,316,144,72,0,12,2037,424,44.9,7.79838110676413,5.8,2.78570796879809,1782029.99717337,6180.46671843602,1782029.9921875,6180.46671843602
53,11001003500,382021,0,Census Tract 35,District of Columbia,District of Columbia,33,1.6,36.8,2.2,29.6,2.2,4799,350,2802,249,2802,249,2590,244,212,87,0,17,1997,278,41.6,4.93424321097815,7.6,3.03125348699099,632047.951501526,3840.2831970163,632047.9765625,3840.2831970163
54,11001003600,305616,0,Census Tract 36,District of Columbia,District of Columbia,45.1,2,47.8,2.5,41.9,1.9,4418,458,3697,405,3677,402,3573,405,104,81,20,31,721,270,16.3,5.87252601008028,2.8,2.18107165150094,505654.285915791,2951.05111629594,505654.2734375,2951.05111629594
55,11001003700,292372,0,Census Tract 37,District of Columbia,District of Columbia,43.4,1.3,44.3,2,42.3,1.5,4669,592,3601,469,3601,469,3375,489,226,123,0,17,1068,294,22.9,5.58914224085426,6.3,3.31647168906789,483729.544494567,2959.74121078069,483729.546875,2959.74121078069
56,11001003800,356114,0,Census Tract 38,District of Columbia,District of Columbia,43.6,1.3,44.6,1.7,42.5,2,4568,479,3657,407,3657,407,3593,397,64,48,0,17,911,302,19.9,6.27174901479827,1.8,1.29801967185698,589169.532213726,3485.49606892466,589169.50390625,3485.49606892466
57,11001003900,379810,10579,Census Tract 39,District of Columbia,District of Columbia,42.3,1.3,42.2,1.5,42.3,1.8,4346,343,3799,341,3799,341,3689,354,110,80,0,12,547,151,12.6,3.32943303749307,2.9,2.08971718016646,628648.767650303,4298.67855161558,628648.796875,4298.67855161558
58,11001004001,271211,2414,Census Tract 40.01,District of Columbia,District of Columbia,42.5,1.4,42.3,2.1,42.7,2,4351,654,3823,669,3823,669,3631,620,192,113,0,12,528,181,12.1,3.73874112585529,5,2.82211373429044,448740.223845917,3008.33397015039,448740.21484375,3008.33397015039
59,11001004002,194755,0,Census Tract 40.02,District of Columbia,District of Columbia,43.7,2,43,1.7,44.3,3.2,2872,251,2497,263,2488,263,2414,260,74,40,9,15,375,102,13.1,3.36321217593963,3,1.57667524374669,322181.186408835,2727.63466095514,322181.1875,2727.63466095514
60,11001004100,788960,23020,Census Tract 41,District of Columbia,District of Columbia,42.9,1.6,42.7,2.3,43,1.8,2309,208,1809,184,1805,185,1752,167,53,53,4,6,500,101,21.7,3.9151472031754,2.9,2.92082476737748,1305244.81705209,6629.37753905675,1305244.79296875,6629.37753905675
61,11001004201,204529,0,Census Tract 42.01,District of Columbia,District of Columbia,43.6,1.4,44.8,2,42.3,1.9,3425,376,3041,350,3041,350,2983,348,58,58,0,12,384,123,11.2,3.37373229889109,1.9,1.89459286333329,338330.846297853,2370.51311003423,338330.86328125,2370.51311003423
62,11001004202,207646,0,Census Tract 42.02,District of Columbia,District of Columbia,46,1.4,48.3,2.1,43.4,1.7,2334,206,1939,203,1931,202,1857,198,74,39,8,13,395,103,16.9,4.15254819748166,3.8,1.97949364844383,343461.832987546,2697.82919285117,343461.81640625,2697.82919285117
63,11001004300,236694,0,Census Tract 43,District of Columbia,District of Columbia,44.8,1.5,47.5,2.3,42.2,2.1,3756,297,3006,277,2998,275,2907,311,91,99,8,13,750,204,20,5.19673601470082,3,3.29044269420034,391545.589806553,2631.66434981255,391545.59375,2631.66434981255
64,11001004400,521639,0,Census Tract 44,District of Columbia,District of Columbia,45.7,1.2,45.6,1.3,45.8,1.7,5327,463,4711,433,4711,433,4482,427,229,89,0,17,616,175,11.6,3.12762724096625,4.9,1.83560455988481,862920.602533749,3786.44679300705,862920.62890625,3786.44679300705
65,11001004600,437422,0,Census Tract 46,District of Columbia,District of Columbia,41.8,2.3,44.6,1.9,38.1,4.8,2824,284,2155,232,2144,230,2024,240,120,76,11,17,669,167,23.7,5.41246691750318,5.6,3.49355496671468,723450.892016064,3728.27702065802,723450.875,3728.27702065802
66,11001004701,324656,0,Census Tract 47.01,District of Columbia,District of Columbia,42.9,1.5,43.8,2.5,42.2,2,3764,450,2458,297,2419,299,2152,299,267,224,39,36,1306,313,34.7,7.20709763387285,11,9.1589703420543,536861.879797648,3752.13632822022,536861.86328125,3752.13632822022
67,11001004702,326351,0,Census Tract 47.02,District of Columbia,District of Columbia,44.6,1.1,46.5,1.2,42.7,1.7,3149,252,2356,177,2333,174,2245,160,88,53,23,19,793,192,25.2,5.75450296892332,3.8,2.25426719156681,539618.30780485,3777.09123265689,539618.328125,3777.09123265689
68,11001004801,317222,0,Census Tract 48.01,District of Columbia,District of Columbia,42.9,1.1,43.8,1.5,42,1.6,2596,224,2078,225,2078,225,2019,224,59,44,0,12,518,157,20,5.79750559291261,2.8,2.09498400900899,524679.779951419,3151.88798578281,524679.76953125,3151.88798578281
69,11001004802,286769,0,Census Tract 48.02,District of Columbia,District of Columbia,40.3,1.6,40.9,2,39.7,1.8,3480,291,2637,299,2637,299,2618,302,19,29,0,12,843,150,24.2,3.80471532283815,0.7,1.09669582028704,474240.877627474,2817.51520354695,474240.890625,2817.51520354695
70,11001004901,271866,0,Census Tract 49.01,District of Columbia,District of Columbia,44.3,1.5,44.3,1.9,44.3,2.1,2772,318,2304,298,2286,297,2181,300,105,57,18,24,468,90,16.9,2.60579781734913,4.6,2.42097556157534,449661.194406002,2718.39599416494,449661.18359375,2718.39599416494
71,11001004902,263878,0,Census Tract 49.02,District of Columbia,District of Columbia,43.9,1.5,45.1,1.9,42.5,2.3,2913,289,2242,255,2186,252,2107,244,79,58,56,50,671,201,23,6.51067716547502,3.6,2.62033636079314,436381.074594095,2640.07963264348,436381.0859375,2640.07963264348
72,11001005001,204439,0,Census Tract 50.01,District of Columbia,District of Columbia,42.8,1.9,43.7,2.6,41.5,2.2,1913,203,1656,214,1650,214,1594,204,56,45,6,9,257,117,13.4,5.94757888067819,3.4,2.69151534995343,338137.839563729,2736.38713038145,338137.8203125,2736.38713038145
73,11001005002,233823,0,Census Tract 50.02,District of Columbia,District of Columbia,42.9,1.1,43,1.8,42.8,1.7,5228,457,4157,410,4157,410,4017,382,140,88,0,17,1071,247,20.5,4.37203485884037,3.4,2.09068902876658,386694.276734386,2904.23320720805,386694.28515625,2904.23320720805
74,11001005201,339712,0,Census Tract 52.01,District of Columbia,District of Columbia,46.4,1.7,46.3,1.6,46.5,2.7,6024,535,5307,628,5281,631,5166,631,115,112,26,39,717,215,11.9,3.40892584576967,2.2,2.10478901802231,561858.335292051,3426.07746278379,561858.34765625,3426.07746278379
75,11001005301,286399,0,Census Tract 53.01,District of Columbia,District of Columbia,43.4,1.3,44.8,1.7,42,1.8,4769,253,3874,288,3848,295,3754,284,94,56,26,37,895,204,18.8,4.1601501595129,2.4,1.44320144482194,473686.730452246,2987.54097834318,473686.70703125,2987.54097834318
76,11001005500,629389,9350,Census Tract 55,District of Columbia,District of Columbia,43.8,1.7,47.1,2.3,39.8,2.8,6630,523,4925,548,4897,546,4815,527,82,75,28,46,1705,369,25.7,5.18273645071096,1.7,1.5201276188161,1040958.03312503,6034.78109294425,1040958.078125,6034.78109294425
77,11001005600,457260,7186,Census Tract 56,District of Columbia,District of Columbia,34.1,1.9,37.3,3.1,31,2.9,6300,617,4103,515,4074,522,3919,466,155,119,29,49,2197,433,34.9,5.96437677722852,3.8,2.87999648506046,756078.279832419,4656.36961329341,756078.25390625,4656.36961329341
78,11001005800,914536,0,Census Tract 58,District of Columbia,District of Columbia,45.5,1.9,49,2.6,41.9,2.4,3230,265,2720,236,2619,233,2412,219,207,116,101,61,510,140,15.8,4.13625514752954,7.9,4.37299932796228,1512042.36545517,5330.76158547683,1512042.34765625,5330.76158547683
79,11001005900,642060,0,Census Tract 59,District of Columbia,District of Columbia,41.5,2.5,40.1,3.8,43,2,2450,245,1775,215,1766,215,1633,199,133,79,9,20,675,183,27.6,6.94270596963158,7.5,4.37841634751181,1061500.97109781,4353.22963261432,1061500.94921875,4353.22963261432
80,11001006202,6539769,4970897,Census Tract 62.02,District of Columbia,District of Columbia,,,,,,,60,89,60,89,60,89,60,89,0,12,0,12,0,12,0,20,0,20,10900149.734602,47557.7877851186,10900149.796875,47557.7877851186
81,11001006400,688025,246481,Census Tract 64,District of Columbia,District of Columbia,41.1,2.9,44,4.4,38.1,3,2152,258,1334,212,1311,211,1096,202,215,112,23,27,818,200,38,8.0997124027939,16.4,8.12513019845091,1136564.90166694,5127.77108306326,1136564.88671875,5127.77108306326
82,11001006500,504907,0,Census Tract 65,District of Columbia,District of Columbia,43.4,2.9,46.6,4.7,39.7,2.4,2406,294,1947,323,1909,322,1813,297,96,101,38,37,459,118,19.1,4.31497053966555,5,5.22228921504554,834463.195840986,4369.20970260649,834463.21875,4369.20970260649
83,11001006600,287216,0,Census Tract 66,District of Columbia,District of Columbia,44,2.1,43,2,44.8,3.8,1830,209,1342,216,1342,216,1306,215,36,34,0,12,488,111,26.7,5.24555883316274,2.7,2.49646957542818,474737.003083533,3409.98195541117,474737.01953125,3409.98195541117
84,11001006700,428358,0,Census Tract 67,District of Columbia,District of Columbia,43.8,1.5,45.6,2.4,41.8,1.4,3753,278,3026,303,3026,303,2990,303,36,30,0,12,727,114,19.4,2.6772913477272,1.2,0.984224757344219,708028.203578311,3882.24660037625,708028.2109375,3882.24660037625
85,11001006801,244750,0,Census Tract 68.01,District of Columbia,District of Columbia,42.7,1.4,42.8,2.7,42.7,2,2048,180,1628,170,1604,171,1501,160,103,51,24,22,420,110,20.5,5.05962864715248,6.4,3.1049790174323,404542.834687452,2648.22444354599,404542.84375,2648.22444354599
86,11001006802,280108,0,Census Tract 68.02,District of Columbia,District of Columbia,41.7,1.2,42.3,2,41.1,1.5,2111,161,1773,137,1733,144,1680,132,53,59,40,32,338,88,16,3.98577167706374,3.1,3.39500345485749,462925.699824067,3235.14941817323,462925.6953125,3235.14941817323
87,11001006804,1542277,477741,Census Tract 68.04,District of Columbia,District of Columbia,37.4,2.7,37.9,2.3,30.8,15.2,2594,289,130,99,130,99,76,51,54,91,0,12,2464,234,95,5.5334878123905,41.5,62.4447331711474,2548976.49678794,13856.2384733622,2548976.43359375,13856.2384733622
88,11001006900,398513,0,Census Tract 69,District of Columbia,District of Columbia,43.3,1.4,45.2,2.4,41.5,1.8,2031,145,1694,161,1694,161,1676,162,18,21,0,12,337,94,16.6,4.47409102840417,1.1,1.23554911435868,658622.665569664,3633.89990466157,658622.65625,3633.89990466157
89,11001007000,423352,0,Census Tract 70,District of Columbia,District of Columbia,46.2,3.4,49.5,4.7,40.8,2.5,2379,279,2075,271,1720,235,1631,223,89,56,355,128,304,129,12.8,5.21124651443123,5.2,3.17813120273074,699627.26736132,3750.00028412346,699627.2734375,3750.00028412346
