OBJECTID,STATEFP,COUNTYFP,TRACTCE,NAME,TRACTID,TRACTLABEL,POP10,HOUSING10,SHAPEAREA,SHAPELEN
21,11,001,001301,13.01,11001001301,13.01,3955,2156,2882225.25244024,8705.69837807897
22,11,001,002001,20.01,11001002001,20.01,2340,1026,633795.280230313,4198.60180322284
23,11,001,003302,33.02,11001003302,33.02,2134,982,204215.288993707,1915.7945761561
24,11,001,008402,84.02,11001008402,84.02,2149,1270,274153.835824959,2698.28721268739
1,11,001,000101,1.01,11001000101,1.01,1384,999,199324.498851949,2168.6184316128
2,11,001,000102,1.02,11001000102,1.02,3500,1997,2209934.30312058,9364.8548335314
3,11,001,000201,2.01,11001000201,2.01,3458,15,504327.646646895,3345.95938225039
4,11,001,000300,3,11001000300,3.00,6713,2913,1028044.27287833,4044.96439954401
5,11,001,000703,7.03,11001000703,7.03,1910,1572,210741.233947824,2019.28899978204
6,11,001,000903,9.03,11001000903,9.03,4090,445,928007.601225404,4669.29291792793
7,11,001,001004,10.04,11001001004,10.04,4499,1716,1471779.49613354,6370.57075869122
8,11,001,002504,25.04,11001002504,25.04,3559,1270,311689.716723355,2300.43433400013
9,11,001,003701,37.01,11001003701,37.01,2535,1266,172821.73380559,1674.35637408263
10,11,001,009604,96.04,11001009604,96.04,1962,998,569084.625509176,3170.79285202636
11,11,001,010800,108,11001010800,108.00,6408,1115,661514.292889992,3482.74436753407
12,11,001,000202,2.02,11001000202,2.02,5406,2130,1215972.89009791,6873.61121619689
13,11,001,002600,26,11001002600,26.00,2166,1001,2166127.14545402,8339.31835412764
14,11,001,004300,43,11001004300,43.00,3255,2084,236670.540363451,2044.98878029348
15,11,001,009601,96.01,11001009601,96.01,2445,847,2084183.65879792,6677.19368599546
16,11,001,009902,99.02,11001009902,99.02,2905,1292,1294426.84325892,5346.48203625811
17,11,001,000400,4,11001000400,4.00,1461,693,1540913.18689371,5791.44908691316
18,11,001,000502,5.02,11001000502,5.02,3189,1774,581448.569105043,4037.96147245178
19,11,001,000501,5.01,11001000501,5.01,3376,2186,969651.7564841,6704.33211601488
20,11,001,000802,8.02,11001000802,8.02,2866,1422,2366676.53543498,6562.80568488242
43,11,001,003802,38.02,11001003802,38.02,3119,1823,207164.317657408,2050.88640012039
44,11,001,003901,39.01,11001003901,39.01,2498,1626,120703.518405504,1836.79617989292
45,11,001,004401,44.01,11001004401,44.01,2769,1771,246871.137389641,2006.86233737254
46,11,001,001100,11,11001001100,11.00,4779,2234,1676487.07096341,5700.13417411553
47,11,001,001200,12,11001001200,12.00,5008,2633,1218125.93540224,4908.86664164154
48,11,001,001401,14.01,11001001401,14.01,3078,1478,788015.326912379,4032.61339974348
49,11,001,001303,13.03,11001001303,13.03,3208,2241,894305.536330367,4135.03848445767
50,11,001,002503,25.03,11001002503,25.03,2414,1145,291986.728331109,2174.09621673604
51,11,001,002704,27.04,11001002704,27.04,2800,1604,297737.347396104,3369.6569925869
52,11,001,001402,14.02,11001001402,14.02,2998,1612,895121.371210553,4867.51480782807
53,11,001,007708,77.08,11001007708,77.08,2486,1262,874821.516497705,4453.34799675029
54,11,001,001600,16,11001001600,16.00,3957,1685,2701024.44235179,8615.27602270035
55,11,001,002702,27.02,11001002702,27.02,5226,2565,494191.853438908,3630.16048976269
56,11,001,008301,83.01,11001008301,83.01,2279,1154,303945.004464748,2368.73783639231
57,11,001,010500,105,11001010500,105.00,3410,2347,749814.553233567,3699.12590688588
58,11,001,001702,17.02,11001001702,17.02,2644,1312,939200.34137468,4856.72120574831
72,11,001,002302,23.02,11001002302,23.02,2055,1573,2016020.41413983,5882.97038711706
73,11,001,002400,24,11001002400,24.00,3618,1384,556177.136121082,3256.23097274837
74,11,001,002501,25.01,11001002501,25.01,2554,1042,543408.698595811,3106.14803842843
75,11,001,002801,28.01,11001002801,28.01,3773,1820,171893.671289791,1725.32284627341
76,11,001,002802,28.02,11001002802,28.02,4277,2142,229673.146364596,2101.82559384485
77,11,001,002900,29,11001002900,29.00,3962,1643,300603.102716717,2322.31783874717
78,11,001,003100,31,11001003100,31.00,2885,1131,296881.460021074,2595.26068674875
79,11,001,003000,30,11001003000,30.00,3398,1599,210616.657994471,1877.05777041339
80,11,001,007304,73.04,11001007304,73.04,3546,1376,1251971.54542799,5526.41500957433
81,11,001,009204,92.04,11001009204,92.04,2557,1369,308434.645466289,2545.24342160595
82,11,001,003200,32,11001003200,32.00,4921,1840,448058.282622855,3044.11158858939
83,11,001,003400,34,11001003400,34.00,4320,1347,1070942.99333967,4679.46375776074
84,11,001,003500,35,11001003500,35.00,3740,1189,381983.290381748,2982.23630433039
85,11,001,003600,36,11001003600,36.00,4208,2308,305585.135476629,2293.04669390881
86,11,001,004002,40.02,11001004002,40.02,2797,1916,194735.977762178,2118.23957830142
87,11,001,004001,40.01,11001004001,40.01,3745,2489,273424.842390277,2352.52747241367
59,11,001,001803,18.03,11001001803,18.03,3514,1612,1168086.80442898,4709.75780919785
60,11,001,003301,33.01,11001003301,33.01,3198,1578,442074.759110387,3302.75334712504
61,11,001,007406,74.06,11001007406,74.06,3063,1066,360115.660020164,2571.49219213222
62,11,001,001804,18.04,11001001804,18.04,4483,1925,601692.353302768,3410.17390528853
63,11,001,001901,19.01,11001001901,19.01,4016,1603,769231.780175258,3631.08128388109
64,11,001,010300,103,11001010300,103.00,3187,1306,1084484.08397143,5383.88585940662
65,11,001,001902,19.02,11001001902,19.02,1969,861,877260.727793566,3991.18186268016
66,11,001,002002,20.02,11001002002,20.02,3810,1435,849289.970429965,4375.80728443638
67,11,001,002101,21.01,11001002101,21.01,5309,2183,600932.720092301,3189.30741624366
68,11,001,002102,21.02,11001002102,21.02,4648,2173,725904.976246014,3547.7567250167
69,11,001,002201,22.01,11001002201,22.01,3442,1186,415131.778844436,2575.69790076231
70,11,001,002202,22.02,11001002202,22.02,3087,1434,694457.439419199,3339.42000738919
71,11,001,002301,23.01,11001002301,23.01,2974,1168,412571.587942938,2865.39124876496
25,11,001,009602,96.02,11001009602,96.02,3280,1545,1384176.44850641,4774.79406129692
26,11,001,000600,6,11001000600,6.00,4539,2234,1442753.16232183,5202.37109598643
27,11,001,000702,7.02,11001000702,7.02,3376,2476,300787.948036613,2699.73230001076
28,11,001,000704,7.04,11001000704,7.04,2698,1698,332314.909631928,2829.67929733304
29,11,001,001304,13.04,11001001304,13.04,3649,3134,716516.591141846,4038.51797179076
30,11,001,000803,8.03,11001000803,8.03,3128,2118,322055.364399897,2402.77391071975
31,11,001,002703,27.03,11001002703,27.03,2433,1241,163845.699289594,2104.83133189531
32,11,001,003702,37.02,11001003702,37.02,3228,1304,119520.161285633,1413.61596013811
33,11,001,003801,38.01,11001003801,38.01,1495,1038,148912.35540918,1852.41083844838
34,11,001,000804,8.04,11001000804,8.04,3561,1399,2758459.08202779,8273.66454053633
35,11,001,003902,39.02,11001003902,39.02,1976,1370,269649.185039838,2689.76308150381
36,11,001,010602,106.02,11001010602,106.02,3867,1907,542454.99019167,3131.03004838376
37,11,001,000902,9.02,11001000902,9.02,2112,873,2174148.68165176,8762.51683660763
38,11,001,001500,15,11001001500,15.00,5911,2126,4698276.68542711,10627.6530688811
39,11,001,009603,96.03,11001009603,96.03,3373,1750,607338.733900703,3819.9496937022
40,11,001,000904,9.04,11001000904,9.04,3085,1216,2099656.23253762,6512.76426019837
41,11,001,001002,10.02,11001001002,10.02,3442,2342,889633.896534951,3952.27939822206
42,11,001,001003,10.03,11001001003,10.03,2937,1118,982360.609272215,4069.48051573501
96,11,001,004600,46,11001004600,46.00,3028,1465,437377.570038885,2897.99081713212
97,11,001,004801,48.01,11001004801,48.01,2143,1208,317188.627599531,2449.16702643416
98,11,001,004802,48.02,11001004802,48.02,2922,1561,286740.669666611,2190.87648850696
99,11,001,004902,49.02,11001004902,49.02,2690,1530,263851.945089197,2052.23093560813
100,11,001,004702,47.02,11001004702,47.02,1802,988,326385.601197123,2951.19290976106
101,11,001,004703,47.03,11001004703,47.03,1738,1258,126133.351450047,1775.1175051375
102,11,001,004704,47.04,11001004704,47.04,2248,880,198488.717615508,1817.55726823055
103,11,001,005802,58.02,11001005802,58.02,930,993,682415.903813889,3651.27113724979
104,11,001,010601,106.01,11001010601,106.01,49,19,224787.057614883,1982.70339983797
105,11,001,010603,106.03,11001010603,106.03,17,1,464222.021814576,3058.86090772557
106,11,001,005001,50.01,11001005001,50.01,1955,1003,200944.191619797,1964.83624035431
107,11,001,005003,50.03,11001005003,50.03,1944,1355,94127.5971946055,1381.1315905852
108,11,001,005004,50.04,11001005004,50.04,4077,2498,143144.617507303,1858.65852946008
109,11,001,005203,52.03,11001005203,52.03,2986,2397,93410.0953353633,1391.53172451312
136,11,001,007401,74.01,11001007401,74.01,2418,936,1404800.31994817,6326.89560699662
137,11,001,007403,74.03,11001007403,74.03,2859,1180,330171.795414348,3195.99264588218
138,11,001,007404,74.04,11001007404,74.04,3310,1308,826307.08748751,5029.63955080262
139,11,001,007407,74.07,11001007407,74.07,2587,1203,608638.678524004,4670.66224438879
140,11,001,007408,74.08,11001007408,74.08,3038,1239,372310.946823977,3762.8263027523
141,11,001,007409,74.09,11001007409,74.09,3499,1507,397745.919496035,3046.21089460602
142,11,001,007502,75.02,11001007502,75.02,4541,1898,615769.353741666,4792.93629562648
143,11,001,007503,75.03,11001007503,75.03,2425,1000,515124.936255814,2954.01382134651
144,11,001,007504,75.04,11001007504,75.04,2451,1215,796489.48698217,4403.67878370066
145,11,001,007601,76.01,11001007601,76.01,4355,2196,1256758.74278798,4703.83789014827
110,11,001,007201,72.01,11001007201,72.01,37,22,1093767.03458068,4642.36344862658
111,11,001,005202,52.02,11001005202,52.02,3091,2151,246268.953175146,2408.4547756491
112,11,001,005303,53.03,11001005303,53.03,2524,2076,168752.034485092,1892.59648366628
113,11,001,007202,72.02,11001007202,72.02,1652,1413,183957.916651023,1796.8190191639
114,11,001,010202,102.02,11001010202,102.02,1209,713,1205676.75414415,4731.64131733099
115,11,001,005501,55.01,11001005501,55.01,1376,1257,164732.48221567,1903.37326301506
116,11,001,005502,55.02,11001005502,55.02,3130,1957,251274.471447627,2212.30057950853
117,11,001,005601,56.01,11001005601,56.01,2701,1966,184389.440780857,2151.73529214011
118,11,001,005602,56.02,11001005602,56.02,4054,2093,280013.333797758,2971.9583028462
119,11,001,005503,55.03,11001005503,55.03,2165,1769,222664.090804244,2363.34861452371
120,11,001,005801,58.01,11001005801,58.01,1900,1313,232927.443044473,2427.734294105
121,11,001,005900,59,11001005900,59.00,2998,1868,641932.594665691,3377.80665148722
122,11,001,007901,79.01,11001007901,79.01,3822,1784,401999.626584252,2585.83375015259
123,11,001,009901,99.01,11001009901,99.01,2249,1070,2101940.39171179,5944.77266555032
124,11,001,006400,64,11001006400,64.00,2139,1055,934967.319286652,4736.52823691538
125,11,001,006500,65,11001006500,65.00,2531,1543,506916.769675582,3435.61689291655
126,11,001,006600,66,11001006600,66.00,1909,1143,285129.298341529,2432.04373836675
127,11,001,006700,67,11001006700,67.00,3775,2008,428318.363000371,3021.18407083336
128,11,001,006801,68.01,11001006801,68.01,1949,977,244725.27111643,2059.81187624967
129,11,001,006802,68.02,11001006802,68.02,2084,1004,280079.02714017,2515.28399722503
130,11,001,006900,69,11001006900,69.00,2179,1190,398474.059042305,2827.31716372192
131,11,001,007000,70,11001007000,70.00,2812,1268,423309.863281592,2918.02478360512
132,11,001,007100,71,11001007100,71.00,2911,1461,752048.261545492,3887.70359280758
133,11,001,007203,72.03,11001007203,72.03,1105,935,402590.000893619,3067.40118081178
134,11,001,010201,102.01,11001010201,102.01,1115,941,174866.028478039,1757.2585875123
135,11,001,007301,73.01,11001007301,73.01,3012,991,9822747.84186677,17334.6507613241
88,11,001,004100,41,11001004100,41.00,2708,1702,812071.789996037,3855.05591125576
89,11,001,004901,49.01,11001004901,49.01,2087,1094,271840.247467623,2112.9296543128
90,11,001,006804,68.04,11001006804,68.04,3670,13,2019816.28586995,6716.27125442943
91,11,001,010100,101,11001010100,101.00,2621,2067,579173.362787188,3422.89259108204
92,11,001,004201,42.01,11001004201,42.01,3342,2259,204508.26863192,1842.64585006023
93,11,001,004202,42.02,11001004202,42.02,2771,1915,207625.961387539,2096.78954126548
94,11,001,004402,44.02,11001004402,44.02,1803,880,274719.992006744,2324.50635474434
95,11,001,005302,53.02,11001005302,53.02,2527,1814,117621.934570623,1412.96648659927
157,11,001,007809,78.09,11001007809,78.09,2922,1339,535200.910597982,3880.24560402518
158,11,001,007903,79.03,11001007903,79.03,1774,880,247920.162840934,2179.2130382244
159,11,001,008001,80.01,11001008001,80.01,2784,1391,322765.74193201,2360.76233809006
160,11,001,008002,80.02,11001008002,80.02,3031,1644,578898.977327846,3883.13579467584
161,11,001,008410,84.10,11001008410,84.10,1489,681,219916.40330166,2334.23535851789
162,11,001,008701,87.01,11001008701,87.01,2407,972,382644.467739133,2701.00445860253
163,11,001,008702,87.02,11001008702,87.02,1599,902,486358.375469988,3721.22398467367
164,11,001,008100,81,11001008100,81.00,2910,1549,290252.388298234,2321.3041679524
165,11,001,008200,82,11001008200,82.00,2918,1655,338389.084486324,3040.33731156851
166,11,001,008302,83.02,11001008302,83.02,2206,1032,260867.564117658,2372.70021043655
167,11,001,008802,88.02,11001008802,88.02,4119,1999,468530.035387213,2832.9009786894
168,11,001,008804,88.04,11001008804,88.04,2412,1396,777976.044780943,3948.29725790498
169,11,001,008903,89.03,11001008903,89.03,2633,1399,305620.161060891,2912.45474789673
170,11,001,008904,89.04,11001008904,89.04,3309,1788,449297.850601789,3139.62564443314
171,11,001,008803,88.03,11001008803,88.03,2037,612,1168179.90950417,5336.90711684971
172,11,001,009000,90,11001009000,90.00,2732,1646,1458524.17356476,5482.37469942153
173,11,001,009102,91.02,11001009102,91.02,4127,1854,1816105.30573631,6380.62081520215
174,11,001,009811,98.11,11001009811,98.11,4365,1979,467456.866497195,3560.02051373517
175,11,001,009201,92.01,11001009201,92.01,1976,619,629718.249755383,3267.58278877289
176,11,001,009203,92.03,11001009203,92.03,2582,1259,581028.828591398,3447.09781354941
190,11,001,009801,98.01,11001009801,98.01,1575,766,448588.961558625,3251.56862108711
191,11,001,009802,98.02,11001009802,98.02,1693,848,200725.120359928,2124.24374996009
192,11,001,009803,98.03,11001009803,98.03,2758,1416,531003.938031633,3195.47372166022
193,11,001,009804,98.04,11001009804,98.04,2473,1071,518311.549910582,3737.49620736727
194,11,001,009807,98.07,11001009807,98.07,3072,1551,1036907.65397502,5053.15209920647
195,11,001,009810,98.10,11001009810,98.10,2507,1171,412437.894178631,2811.72571739476
196,11,001,009903,99.03,11001009903,99.03,1851,722,383641.958714772,3229.20131400338
197,11,001,009904,99.04,11001009904,99.04,2243,1137,426153.818275879,3002.71698990049
198,11,001,009905,99.05,11001009905,99.05,2795,1330,431516.367579895,2908.99071794814
199,11,001,009906,99.06,11001009906,99.06,1296,756,252657.239327082,2144.2574310521
200,11,001,010400,104,11001010400,104.00,4361,1827,2614289.89934263,7693.61306124875
201,11,001,010700,107,11001010700,107.00,1838,1413,891494.003621523,3825.46535378646
177,11,001,009301,93.01,11001009301,93.01,3143,1230,1108975.11288594,4589.14669816974
178,11,001,009302,93.02,11001009302,93.02,1189,545,391865.826410559,2737.69617582302
179,11,001,009400,94,11001009400,94.00,4163,1792,1582725.36290863,5493.84874117144
180,11,001,009503,95.03,11001009503,95.03,2910,1256,1423466.71588907,5446.58719684188
181,11,001,009504,95.04,11001009504,95.04,3025,1354,1033066.50516303,4273.22268764817
182,11,001,009505,95.05,11001009505,95.05,2630,1217,1033104.72606646,4581.83522418799
183,11,001,009907,99.07,11001009907,99.07,2836,1176,466906.010536838,3177.05675988449
184,11,001,009507,95.07,11001009507,95.07,1489,607,295261.340191729,2488.71586520758
185,11,001,009508,95.08,11001009508,95.08,3290,1742,962117.770365682,6008.53181923578
186,11,001,009509,95.09,11001009509,95.09,2940,1320,648783.669950516,3355.29493096537
187,11,001,009510,95.10,11001009510,95.10,3782,1953,841424.411799279,4410.19467456477
188,11,001,009511,95.11,11001009511,95.11,2015,1,719397.636085215,4000.6738964934
189,11,001,009700,97,11001009700,97.00,3177,1307,409721.064557676,3387.4109758998
146,11,001,007603,76.03,11001007603,76.03,4044,2328,1226493.75391629,4988.34998881868
147,11,001,007604,76.04,11001007604,76.04,3644,1931,1369438.19153603,5429.6849735864
148,11,001,007605,76.05,11001007605,76.05,3447,1804,453750.990513066,3673.0001385013
149,11,001,007703,77.03,11001007703,77.03,5187,2338,1018697.98934953,4571.57556474003
150,11,001,007707,77.07,11001007707,77.07,3867,1721,842765.614000117,4419.60474061229
151,11,001,007709,77.09,11001007709,77.09,2007,1144,911466.442913949,4632.8849095591
152,11,001,007803,78.03,11001007803,78.03,3293,1652,990333.687400141,4453.30866871881
153,11,001,007804,78.04,11001007804,78.04,3446,1378,844049.758141617,4568.98596647077
154,11,001,007806,78.06,11001007806,78.06,2347,1102,671367.827111883,4077.27608108348
155,11,001,007807,78.07,11001007807,78.07,2139,906,522697.60179134,3260.36659860274
156,11,001,007808,78.08,11001007808,78.08,3646,1598,944476.306609318,4177.3540757077
202,11,001,011001,110.01,11001011001,110.01,2232,1459,152434.661713504,1718.82425568734
203,11,001,011002,110.02,11001011002,110.02,1483,1214,865059.774968947,5429.96059359581
204,11,001,980000,9800,11001980000,9800.00,34,8,11509514.9294886,26579.5607849597
205,11,001,011100,111,11001011100,111.00,4859,1868,6084315.29299216,13827.8674490672
206,11,001,010900,109,11001010900,109.00,3211,1366,5315758.02365661,11819.1275444024
